Periode;Jumlah
1;174541
2;147704
3;168205
4;188776
5;190803
6;200566
7;235198
8;232255
9;218443
10;221282
11;184803
12;222546
13;179273
14;191926
15;192579
16;184907
17;203388
18;228045
19;254907
20;243154
21;240947
22;229904
23;199861
24;227251
25;209093
26;207195
27;207907
28;224704
29;209058
30;245652
31;283524
32;258377
33;258440
34;247565
35;221603
36;253591
37;253286
38;225993
39;230957
40;225488
41;220700
42;244080
43;271512
44;254079
45;257363
46;255021
47;242781
48;268072
49;232935
50;241868
51;252210
52;242369
53;247972
54;275667
55;297878
56;309219
57;305629
58;266562
59;307276
60;299013
61;279257
62;275795
63;276573
64;280096
65;286033
66;330396
67;361066
68;336763
69;354762
70;341651
71;296876
72;347370
73;301748
74;338991
75;305272
76;313763
77;295973
78;359702
79;382683
80;303621
81;389060
82;369447
83;270935
84;370640
85;350592
86;375744
87;364113
88;380767
89;394557
90;405835
91;484231
92;438135
93;445716
94;432215
95;413232
96;442800
97;460824
98;453985
99;425499
100;477464
101;489376
102;504141
103;592046
104;601884
105;550520
106;465085
107;361006
108;315909
109;358065
110;452423
111;492678
112;516777
113;528512
114;544550
115;624366
116;573766
117;555903
118;517889
119;406725
120;498819
121;455570
122;437456
123;449569
124;477069
125;486602
126;549516
127;604323
128;606412
129;590398
130;567967
131;497925
132;552403
133;536611
134;364639
135;167461
136;379
137;36
138;45
139;16
140;12
141;8
142;63
143;53
144;150
145;10
146;12
147;3
148;9
149;8
150;2
151;2
152;2
153;2
154;2
155;6
156;2
157;3
158;1310
159;14620
160;58335
161;115611
162;181625
163;246504
164;276659
165;291162
166;305244
167;287398
168;377276
169;331912
170;323623
171;370695
172;411510
173;439475
174;478198
175;541353
176;522141
177;508350