Provinsi;x1;x2;x3;x4;x5;x6;x7;;;
ACEH;70.18;14.37;9963;9.44;818.47;10.98;70.67;;;
SUMATERA UTARA;69.61;13.31;10848;9.71;1262.09;8.7;77.16;;;
SUMATERA BARAT;69.9;14.1;11130;9.18;343.82;7.31;65.96;;;
RIAU;71.95;13.29;11158;9.22;493.13;15.12;66.91;;;
JAMBI;71.5;13.05;10871;8.68;283.82;12.14;65.85;;;
SUMATERA SELATAN;70.32;12.55;11109;8.37;1054.99;7.37;67.07;;;
BENGKULU;69.69;13.68;10840;8.91;292.93;11.66;64.88;;;
LAMPUNG;70.99;12.74;10336;8.18;995.59;14.63;62.42;;;
KEP. BANGKA BELITUNG;70.98;12.18;13358;8.11;69.69;15.19;66.87;;;
KEP. RIAU;70.5;12.99;14469;10.37;148.89;11.3;73.93;;;
DKI JAKARTA;73.32;13.08;18927;11.31;494.93;3.42;87.71;;;
JAWA BARAT;73.52;12.62;11277;8.78;4053.62;6.75;67.05;;;
JAWA TENGAH;74.57;12.81;11377;7.93;3858.23;12.34;58.75;;;
DI YOGYAKARTA;75.08;15.65;14482;9.75;463.63;13.48;87.92;;;
JAWA TIMUR;71.74;13.37;11992;8.03;4236.51;10.27;66.87;;;
BANTEN;70.39;13.05;12216;9.13;829.66;2.46;66.02;;;
BALI;72.6;13.48;13942;9.39;205.36;7.72;76.59;;;
NUSA TENGGARA BARAT;67.07;13.96;10681;7.61;744.69;2.24;61;;;
NUSA TENGGARA TIMUR;67.47;13.21;7877;7.7;1149.17;13.74;38.47;;;
KALIMANTAN BARAT;71.02;12.66;9355;7.59;356.51;19.22;58.4;;;
KALIMANTAN TENGAH;70.04;12.75;11458;8.65;144.52;12.83;61.88;;;
KALIMANTAN SELATAN;69.13;12.82;12469;8.46;201.95;4.47;67.81;;;
KALIMANTAN TIMUR;74.62;13.84;12641;9.92;242.3;16.19;74;;;
KALIMANTAN UTARA;72.67;13.06;9350;9.27;50.58;23.01;54.8;;;
SULAWESI UTARA;72.08;12.95;11179;9.68;187.33;6.22;66.66;;;
SULAWESI TENGAH;68.93;13.32;9696;8.89;389.71;11.92;53.73;;;
SULAWESI SELATAN;70.97;13.53;11430;8.63;782.32;10.79;68.32;;;
SULAWESI TENGGARA;71.37;13.69;9708;9.25;314.74;17.14;65.97;;;
GORONTALO;68.51;13.12;10687;8.02;187.35;18.63;45.12;;;
SULAWESI BARAT;65.63;12.87;9358;8.08;169.26;9.82;55.18;;;
MALUKU;66.45;14;8876;10.19;296.66;31.68;72.08;;;
MALUKU UTARA;68.79;13.73;8398;9.24;82.13;30.71;67.1;;;
PAPUA BARAT;66.46;13.21;8101;7.84;222.36;29.38;57.07;;;
PAPUA;66.23;11.14;7146;7.02;936.32;36.18;39.01;;;